fold,n_layer,layer_size,n_features,f_engineer,normalize,val_acc
4,1,2,1,1,1,93.68421053
4,1,2,1,0,1,94.56140351
4,1,2,2,1,1,94.03508772
4,1,2,2,0,1,93.33333333
4,1,2,4,1,1,94.38596491
4,1,2,4,0,1,94.38596491
4,1,4,1,1,1,94.21052632
4,1,4,1,0,1,94.38596491
4,1,4,2,1,1,93.50877193
4,1,4,2,0,1,94.38596491
4,1,4,4,1,1,93.85964912
4,1,4,4,0,1,94.38596491
4,1,8,1,1,1,93.15789474
4,1,8,1,0,1,94.56140351
4,1,8,2,1,1,92.80701754
4,1,8,2,0,1,91.92982456
4,1,8,4,1,1,93.33333333
4,1,8,4,0,1,88.94736842
4,1,16,1,1,1,93.50877193
4,1,16,1,0,1,93.33333333
4,1,16,2,1,1,93.33333333
4,1,16,2,0,1,92.10526316
4,1,16,4,1,1,92.63157895
4,1,16,4,0,1,88.77192982
4,1,32,1,1,1,92.45614035
4,1,32,1,0,1,93.85964912
4,1,32,2,1,1,90
4,1,32,2,0,1,91.75438596
4,1,32,4,1,1,88.24561404
4,1,32,4,0,1,90.1754386
4,1,64,1,1,1,92.80701754
4,1,64,1,0,1,93.68421053
4,1,64,2,1,1,90.87719298
4,1,64,2,0,1,90.70175439
4,1,64,4,1,1,87.54385965
4,1,64,4,0,1,87.89473684
4,1,128,1,1,1,93.33333333
4,1,128,1,0,1,93.33333333
4,1,128,2,1,1,89.29824561
4,1,128,2,0,1,88.24561404
4,1,128,4,1,1,87.01754386
4,1,128,4,0,1,88.24561404
4,2,2,1,1,1,94.56140351
4,2,2,1,0,1,94.38596491
4,2,2,2,1,1,93.15789474
4,2,2,2,0,1,94.03508772
4,2,2,4,1,1,95.43859649
4,2,2,4,0,1,95.26315789
4,2,4,1,1,1,93.50877193
4,2,4,1,0,1,94.21052632
4,2,4,2,1,1,93.15789474
4,2,4,2,0,1,94.21052632
4,2,4,4,1,1,93.15789474
4,2,4,4,0,1,92.45614035
4,2,8,1,1,1,92.98245614
4,2,8,1,0,1,93.50877193
4,2,8,2,1,1,92.80701754
4,2,8,2,0,1,91.57894737
4,2,8,4,1,1,92.10526316
4,2,8,4,0,1,87.89473684
4,2,16,1,1,1,93.33333333
4,2,16,1,0,1,92.80701754
4,2,16,2,1,1,86.66666667
4,2,16,2,0,1,90
4,2,16,4,1,1,86.31578947
4,2,16,4,0,1,90.1754386
4,2,32,1,1,1,92.80701754
4,2,32,1,0,1,93.33333333
4,2,32,2,1,1,87.54385965
4,2,32,2,0,1,87.71929825
4,2,32,4,1,1,82.80701754
4,2,32,4,0,1,85.78947368
