fold,n_layer,layer_size,n_features,f_engineer,normalize,val_acc
4,3,32,2,0,1,93.89736477
4,3,32,4,1,1,98.89042996
4,3,32,4,0,1,97.64216366
4,3,64,1,1,1,91.26213592
4,3,64,1,0,1,93.06518724
4,3,64,2,1,1,94.03606103
4,3,64,2,0,1,92.78779473
4,3,64,4,1,1,99.58391123
4,3,64,4,0,1,95.42302358
4,3,128,1,1,1,76.83772538
4,3,128,1,0,1,77.94729542
4,3,128,2,1,1,91.67822469
4,3,128,2,0,1,79.47295423
4,3,128,4,1,1,98.47434119
4,3,128,4,0,1,93.48127601
5,1,2,1,1,1,88.22733424
5,1,2,1,0,1,92.15155616
5,1,2,2,1,1,89.17456022
5,1,2,2,0,1,92.69282815
5,1,2,4,1,1,93.50473613
5,1,2,4,0,1,93.64005413
5,1,4,1,1,1,92.28687415
5,1,4,1,0,1,91.20433018
5,1,4,2,1,1,93.09878214
5,1,4,2,0,1,93.23410014
5,1,4,4,1,1,94.72259811
5,1,4,4,0,1,94.72259811
5,1,8,1,1,1,92.69282815
5,1,8,1,0,1,92.28687415
5,1,8,2,1,1,94.58728011
5,1,8,2,0,1,93.50473613
5,1,8,4,1,1,95.1285521
5,1,8,4,0,1,94.18132612
5,1,16,1,1,1,93.09878214
5,1,16,1,0,1,92.42219215
5,1,16,2,1,1,94.18132612
5,1,16,2,0,1,93.91069012
5,1,16,4,1,1,95.94046008
5,1,16,4,0,1,95.66982409
5,1,32,1,1,1,93.36941813
5,1,32,1,0,1,92.69282815
5,1,32,2,1,1,95.39918809
5,1,32,2,0,1,94.45196211
5,1,32,4,1,1,96.75236806
5,1,32,4,0,1,96.61705007
5,1,64,1,1,1,93.64005413
5,1,64,1,0,1,92.42219215
5,1,64,2,1,1,96.48173207
5,1,64,2,0,1,95.94046008
5,1,64,4,1,1,98.64682003
5,1,64,4,0,1,97.69959405
5,1,128,1,1,1,93.91069012
5,1,128,1,0,1,92.82814614
5,1,128,2,1,1,97.42895805
5,1,128,2,0,1,96.34641407
5,1,128,4,1,1,99.18809202
5,1,128,4,0,1,98.64682003
5,2,2,1,1,1,88.22733424
5,2,2,1,0,1,88.22733424
5,2,2,2,1,1,92.69282815
5,2,2,2,0,1,88.22733424
5,2,2,4,1,1,94.18132612
5,2,2,4,0,1,94.45196211
5,2,4,1,1,1,92.55751015
5,2,4,1,0,1,91.20433018
5,2,4,2,1,1,92.55751015
5,2,4,2,0,1,93.23410014
5,2,4,4,1,1,94.58728011
5,2,4,4,0,1,95.1285521
5,2,8,1,1,1,92.28687415
5,2,8,1,0,1,92.55751015
5,2,8,2,1,1,93.77537212
5,2,8,2,0,1,94.72259811
5,2,8,4,1,1,93.91069012
5,2,8,4,0,1,96.07577808
5,2,16,1,1,1,92.55751015
5,2,16,1,0,1,92.15155616
5,2,16,2,1,1,96.07577808
5,2,16,2,0,1,95.80514208
5,2,16,4,1,1,97.56427605
5,2,16,4,0,1,97.15832206
5,2,32,1,1,1,92.55751015
5,2,32,1,0,1,92.69282815
5,2,32,2,1,1,98.37618403
5,2,32,2,0,1,97.83491204
5,2,32,4,1,1,98.91745602
5,2,32,4,0,1,97.83491204
5,2,64,1,1,1,93.64005413
5,2,64,1,0,1,92.55751015
5,2,64,2,1,1,97.83491204
5,2,64,2,0,1,96.75236806
5,2,64,4,1,1,99.05277402
5,2,64,4,0,1,98.78213802
5,2,128,1,1,1,94.18132612
5,2,128,1,0,1,93.36941813
5,2,128,2,1,1,98.37618403
5,2,128,2,0,1,97.42895805
5,2,128,4,1,1,98.51150203
5,2,128,4,0,1,98.64682003
5,3,2,1,1,1,88.22733424
5,3,2,1,0,1,91.88092016
5,3,2,2,1,1,88.22733424
5,3,2,2,0,1,91.47496617
5,3,2,4,1,1,93.50473613
5,3,2,4,0,1,88.22733424
5,3,4,1,1,1,91.74560217
5,3,4,1,0,1,91.88092016
5,3,4,2,1,1,93.36941813
5,3,4,2,0,1,92.01623816
5,3,4,4,1,1,94.9932341
5,3,4,4,0,1,92.15155616
5,3,8,1,1,1,93.09878214
5,3,8,1,0,1,92.01623816
5,3,8,2,1,1,93.64005413
5,3,8,2,0,1,94.72259811
5,3,8,4,1,1,93.09878214
5,3,8,4,0,1,94.58728011
5,3,16,1,1,1,93.36941813
5,3,16,1,0,1,93.09878214
5,3,16,2,1,1,93.91069012
5,3,16,2,0,1,94.72259811
5,3,16,4,1,1,98.24086604
5,3,16,4,0,1,96.07577808
5,3,32,1,1,1,94.31664411
5,3,32,1,0,1,92.15155616
5,3,32,2,1,1,97.42895805
5,3,32,2,0,1,96.07577808
5,3,32,4,1,1,97.97023004
5,3,32,4,0,1,97.56427605
5,3,64,1,1,1,91.33964817
5,3,64,1,0,1,89.58051421
5,3,64,2,1,1,94.72259811
5,3,64,2,0,1,89.71583221
5,3,64,4,1,1,98.64682003
5,3,64,4,0,1,96.21109608
5,3,128,1,1,1,77.40189445
5,3,128,1,0,1,73.34235453
5,3,128,2,1,1,86.33288227
5,3,128,2,0,1,82.00270636
5,3,128,4,1,1,97.69959405
5,3,128,4,0,1,94.9932341
6,1,2,1,1,1,94.34724092
6,1,2,1,0,1,94.07806191
6,1,2,2,1,1,93.2705249
6,1,2,2,0,1,92.19380888
6,1,2,4,1,1,95.42395693
6,1,2,4,0,1,95.55854643
6,1,4,1,1,1,93.67429341
6,1,4,1,0,1,94.07806191
6,1,4,2,1,1,93.80888291
6,1,4,2,0,1,93.4051144
6,1,4,4,1,1,96.63526245
6,1,4,4,0,1,95.42395693
6,1,8,1,1,1,93.80888291
6,1,8,1,0,1,93.0013459
6,1,8,2,1,1,95.42395693
6,1,8,2,0,1,93.94347241
6,1,8,4,1,1,96.23149394
6,1,8,4,0,1,96.63526245
6,1,16,1,1,1,93.67429341
6,1,16,1,0,1,94.61641992
6,1,16,2,1,1,95.42395693
6,1,16,2,0,1,95.28936743
6,1,16,4,1,1,98.38492598
6,1,16,4,0,1,97.44279946
6,1,32,1,1,1,93.67429341
6,1,32,1,0,1,94.07806191
6,1,32,2,1,1,96.90444145
6,1,32,2,0,1,96.23149394
6,1,32,4,1,1,98.92328398
6,1,32,4,0,1,97.84656797
6,1,64,1,1,1,94.61641992
6,1,64,1,0,1,94.75100942
6,1,64,2,1,1,96.90444145
6,1,64,2,0,1,96.50067295
6,1,64,4,1,1,99.46164199
6,1,64,4,0,1,98.65410498
6,1,128,1,1,1,94.75100942
6,1,128,1,0,1,93.80888291
6,1,128,2,1,1,97.98115747
6,1,128,2,0,1,97.44279946
6,1,128,4,1,1,99.46164199
6,1,128,4,0,1,99.05787349
6,2,2,1,1,1,90.30955585
6,2,2,1,0,1,94.07806191
6,2,2,2,1,1,93.5397039
6,2,2,2,0,1,92.19380888
6,2,2,4,1,1,95.69313594
6,2,2,4,0,1,92.59757739
6,2,4,1,1,1,93.94347241
6,2,4,1,0,1,93.67429341
6,2,4,2,1,1,93.1359354
6,2,4,2,0,1,95.15477793
6,2,4,4,1,1,96.09690444
6,2,4,4,0,1,95.69313594
6,2,8,1,1,1,93.67429341
6,2,8,1,0,1,93.67429341
6,2,8,2,1,1,96.23149394
6,2,8,2,0,1,95.28936743
6,2,8,4,1,1,97.57738896
6,2,8,4,0,1,96.09690444
6,2,16,1,1,1,93.94347241
6,2,16,1,0,1,94.21265141
6,2,16,2,1,1,96.50067295
6,2,16,2,0,1,95.28936743
6,2,16,4,1,1,99.46164199
6,2,16,4,0,1,97.71197847
6,2,32,1,1,1,95.28936743
6,2,32,1,0,1,93.94347241
6,2,32,2,1,1,98.25033647
6,2,32,2,0,1,97.44279946
6,2,32,4,1,1,99.59623149
6,2,32,4,0,1,98.92328398
6,2,64,1,1,1,96.23149394
6,2,64,1,0,1,94.07806191
6,2,64,2,1,1,99.05787349
6,2,64,2,0,1,97.98115747
6,2,64,4,1,1,99.59623149
6,2,64,4,0,1,99.59623149
6,2,128,1,1,1,94.88559892
6,2,128,1,0,1,94.61641992
6,2,128,2,1,1,99.32705249
6,2,128,2,0,1,98.51951548
6,2,128,4,1,1,98.92328398
6,2,128,4,0,1,99.59623149
6,3,2,1,1,1,93.5397039
6,3,2,1,0,1,90.30955585
6,3,2,2,1,1,94.07806191
6,3,2,2,0,1,90.30955585
6,3,2,4,1,1,90.30955585
6,3,2,4,0,1,90.30955585
6,3,4,1,1,1,94.21265141
6,3,4,1,0,1,94.07806191
6,3,4,2,1,1,95.42395693
6,3,4,2,0,1,92.86675639
6,3,4,4,1,1,94.07806191
6,3,4,4,0,1,95.82772544
6,3,8,1,1,1,94.07806191
6,3,8,1,0,1,94.21265141
6,3,8,2,1,1,95.55854643
6,3,8,2,0,1,96.09690444
6,3,8,4,1,1,96.90444145
6,3,8,4,0,1,96.09690444
6,3,16,1,1,1,94.88559892
6,3,16,1,0,1,94.88559892
