dataset,num_layers,layer_size,test_fold,test_ratio,stop_epoch,train_loss,val_loss,test_loss,time
cancer,2,2048,1,0.5,14,0.4572362899780273,1.19383442401886,1.4996473789215088,29.499272346496586
cancer,2,2048,2,0.1,32,0.5339304804801941,1.0305185317993164,2.27889347076416,35.04760789871216
cancer,2,2048,2,0.2,24,0.5968387722969055,0.8577343225479126,1.99535071849823,31.88202023506165
cancer,2,2048,2,0.3,22,0.4951818585395813,0.9783914685249328,1.8548427820205688,30.368658542633057
cancer,2,2048,2,0.4,23,0.5315612554550171,1.0193963050842283,1.6446571350097656,29.342453241348267
cancer,2,2048,2,0.5,22,0.4900019466876983,1.0217838287353516,1.675778865814209,27.98530864715576
cancer,1,4,2,0.1,302,0.9473237991333008,0.9895177483558656,1.4995648860931396,4.351339817047119
cancer,2,4096,1,0.1,307,0.4520177245140075,1.3044075965881348,1.8243712186813357,381.5962433815002
cancer,2,4096,1,0.2,15,0.4887396097183227,1.2298709154129028,1.6400116682052612,107.62149310112
cancer,2,4096,1,0.3,30,0.4854086339473724,1.2823024988174438,1.60071063041687,117.01039576530457
cancer,2,4096,1,0.4,37,0.4899113178253174,1.2039635181427002,1.4366066455841064,118.04030656814577
cancer,2,4096,1,0.5,19,0.466034859418869,1.2190667390823364,1.4655436277389526,99.03547072410583
cancer,2,4096,2,0.1,43,0.5208499431610107,1.0615342855453491,1.7661147117614746,138.3275818824768
cancer,2,4096,2,0.2,62,0.5161363482475281,0.8298225998878479,2.117238998413086,150.58086371421814
cancer,2,4096,2,0.3,40,0.5023145079612732,0.9882227182388306,1.9673954248428345,126.2220356464386
cancer,2,4096,2,0.4,29,0.5614615082740784,1.0242770910263062,1.728590965270996,112.57566785812378
cancer,2,4096,2,0.5,37,0.4885388612747192,1.01906156539917,1.7052206993103027,113.7458930015564
cancer,1,4,2,0.2,519,0.9131484627723694,0.8296156525611877,1.5604431629180908,4.804256916046143
cancer,3,1,1,0.1,0,2.313598871231079,2.507773160934448,2.101790428161621,1.3405358791351318
cancer,3,1,1,0.2,1643,2.229581356048584,2.515109777450561,2.2492024898529053,5.33152437210083
cancer,3,1,1,0.3,1609,2.194201946258545,2.5032851696014404,2.246532917022705,5.298465013504028
cancer,3,1,1,0.4,1412,2.201624870300293,2.427427291870117,2.1817164421081543,4.9574925899505615
cancer,3,1,1,0.5,1284,2.1534640789031982,2.4197423458099365,2.25546932220459,4.889160633087158
cancer,3,1,2,0.1,1347,1.9882618188858032,2.129026174545288,2.664780616760254,5.001391410827637
cancer,3,1,2,0.2,508,2.0431602001190186,1.8416751623153689,2.649540662765503,3.1123275756835938
